"date","state","si"
2020-02-27,Мурманская область,1.6333333333333335
2020-02-27,Тульская область,1.3666666666666665
2020-02-27,Республика Алтай,0.3
2020-02-27,Архангельская область,1.3333333333333333
2020-02-27,Санкт-Петербург и Ленинградская область,1.1153846153846154
2020-02-27,Пермский край,1.2857142857142858
2020-02-27,Оренбургская область,1.1749999999999998
2020-02-27,Сахалинская область,0.4
2020-02-27,Удмуртская Республика,1.075
2020-02-27,Тамбовская область,1.0499999999999998
2020-02-27,Республика Башкортостан,1.4416666666666667
2020-02-27,Карачаево-Черкесская Республика,0.6
2020-02-27,Еврейская автономная область,0.8
2020-02-27,Костромская область,0.9
2020-02-27,Ростовская область,1.2
2020-02-27,Ярославская область,1
2020-02-27,Москва,1.0977272727272727
2020-02-27,Воронежская область,1.125
2020-02-27,Чеченская Республика,1.275
2020-02-27,Камчатский край,0.7
2020-02-27,Республика Ингушетия,0.3
2020-02-27,Республика Калмыкия,0.7
2020-02-28,Кабардино-Балкарская Республика,1.0499999999999998
2020-02-28,Ставропольский край,0.8555555555555556
2020-02-28,Ханты-Мансийский автономный округ - Югра,0.8333333333333334
2020-02-28,Республика Крым,1.5999999999999999
2020-02-28,Белгородская область,1.1333333333333335
2020-02-28,Республика Дагестан,1.4333333333333333
2020-02-28,Республика Северная Осетия — Алания,0.8
2020-02-28,Республика Мордовия,0.7
2020-02-28,Курская область,1.15
2020-02-28,Псковская область,0.9500000000000001
2020-02-28,Владимирская область,1.0399999999999998
2020-02-28,Приморский край,0.9
2020-02-28,Калужская область,0.6499999999999999
2020-02-28,Красноярский край,1.25
2020-02-28,Вологодская область,0.9
2020-02-28,Ямало-Ненецкий автономный округ,0.8500000000000001
2020-02-28,Республика Адыгея,0.6
2020-02-28,Ивановская область,0.9666666666666667
2020-02-28,Нижегородская область,0.9125000000000001
2020-02-28,Республика Саха (Якутия),1
2020-02-28,Кемеровская область (Кузбасс),1.2444444444444445
2020-02-28,Республика Бурятия,0.7
2020-02-28,Удмуртская Республика,1.05
2020-02-28,Иркутская область,1.1500000000000001
2020-02-28,Москва,1.0090909090909093
2020-02-28,Республика Тыва,0.1
2020-02-28,Ярославская область,1
2020-02-28,Костромская область,0.8
2020-02-28,Амурская область,0.8333333333333334
2020-02-28,Республика Калмыкия,0.8
2020-02-28,Чеченская Республика,1.4249999999999998
2020-02-28,Воронежская область,1.275
2020-02-28,Республика Башкортостан,1.3583333333333334
2020-02-28,Республика Ингушетия,0.5
